,date,id,content,likes,retweets,disc_cat
0,2023-02-27 13:32:47+00:00,1.6302E+18,I recieved at least five call from this Mearry bitch,0,0,gender
1,2023-02-27 13:32:46+00:00,1.6302E+18,@CasuallyGreg Went from fun alcoholic to raging bitch?  😂,0,0,gender
0,2023-02-27 13:32:41+00:00,1.6302E+18,@likeapsychooooo one day the devil will come knocking at ur door and when u open it u will see me,0,0,gender
1,2023-02-27 13:32:25+00:00,1.6302E+18,"@annedro1d this episode!!!! one of my favorites!!

also ofc Koito looks like a whore even though chibi figures should look adorable",0,0,gender
0,2023-02-27 13:32:46+00:00,1.6302E+18,@johnslxvr im getting an urge to make a new jeans pun https://t.co/HSetkPo2dy,0,0,gender
1,2023-02-27 13:32:21+00:00,1.6302E+18,"breeding bunny sluts over and over again

 cute twitching cumdump♡",0,0,gender
0,2023-02-27 13:31:00+00:00,1.6302E+18,"AANot the dark companion of Sirius, brightest of all stars 06 #北京 #上海 #深圳         https://t.co/sQdmDO9UaA",0,0,sex
1,2023-02-27 13:30:48+00:00,1.6302E+18,I think this cunt genuinely believes he’s a winner,0,0,sex
0,2023-02-27 13:31:21+00:00,1.6302E+18,@AndGad2010 @robertorodi76 eh ma ne ho letti purtroppo,0,0,sex
1,2023-02-27 13:31:19+00:00,1.6302E+18,"よしゃ💪
勉強終了✨
明日から宿題イラスト頑張るぞ💪💪",0,0,sex
0,2023-02-27 13:22:57+00:00,1.6302E+18,@kateberger709 @Stefild @ClownWorld_ Another guy we had was 840lbs…we had to make a make shift wench system to get him out. A firefighter ended up having to have knee surgery because of him. One day we went on him for difficulty breathing and we couldn’t do anything because he was actually stuck In his room.,0,0,sex
1,2023-02-27 13:17:51+00:00,1.6302E+18,soyeon that wench,0,0,sex
0,2023-02-27 13:29:55+00:00,1.6302E+18,Sugiura,1,1,gender
1,2023-02-27 13:28:35+00:00,1.6302E+18,"@Bosswah22 @Susan16Park What? I’m in Australia, and we reckon she’s a skank, and l’m pretty sure most other countries are of then same opinion.",0,0,gender
0,2023-02-27 13:31:15+00:00,1.6302E+18,@yakionigiri_734 どっから見つけてくるの,0,0,sex
1,2023-02-27 13:31:09+00:00,1.6302E+18,"... K61 
 ನಾವು ಎಲ್ಲರಿಂದ ಓಡಿಹೋಗುತ್ತೇನೆ ಮತ್ತು ಯಾರೊಂದಿಗೂ

→ٱےهےربَ ٱےهـربَ 

→نمشے →      →سےفے     

☭ٱونٱس☭ ٱنٱس

 ☭فؤغا☭فؤقا☭كلؤسےت☭   -→        →نون

 𝆑ₜₐᵣₜ, Y ₑ ᵢ ᵢ𝆑 ᵢ ₜₑₗₗ ₜₕ𝆑RFW Yₒᵤ ₑ gwzₜᵣᵤₛₒₜₑₗₗ https://t.co/HAQWl3v40p",0,0,sex
0,2023-02-27 13:12:29+00:00,1.63019E+18,... but you're off snoozing with another floozy in another state.,1,1,sex
1,2023-02-27 11:55:08+00:00,1.63017E+18,"@BryanCrabtree17 @IVAND221 Boys in short trousers. Even in the winter, the boys in primary school always had blue mottled legs. Always wearing a cap and a gaberdine mac.",0,0,sex
0,2023-02-27 13:32:40+00:00,1.6302E+18,@HumveeKhan2 Prostitutes don't care about modesty.,0,0,gender
1,2023-02-27 13:32:28+00:00,1.6302E+18,"@its_the_Dr Don’t underestimate the knowledge of the earth &amp; the old ways

Or you will end up a self harming prostitute funding a jenkem habit",0,0,gender
0,2023-02-27 13:25:10+00:00,1.6302E+18,Rt call girl ประจำ#ยืมเมจforsex,0,0,sex
1,2023-02-27 13:16:10+00:00,1.6302E+18,@Alka79668584 Are you a call girl?,0,0,sex
0,2023-02-27 12:57:37+00:00,1.63019E+18,#Podenco #andaluz #dog #streetwalker https://t.co/owT2ZmtmJ3,7,0,sex
1,2023-02-27 10:10:36+00:00,1.63015E+18,"Nichts Neues 

#streetphotography #streetwalker #photographers https://t.co/5juM88uLQT",0,0,sex
0,2023-02-27 13:31:26+00:00,1.6302E+18,Kartal Maltepe Kadıköy Üsküdar Sultanbeyli Ümraniye  ekebilme dügâh dudak çukuru durup dinlenmeden https://t.co/OFLIGMGJBt,18,18,sex
1,2023-02-27 13:31:26+00:00,1.6302E+18,dudak benzeşmesi konya hareketsiz oturuyordu. hakkari bekliyorum çankırı kütahya https://t.co/NvMopSnpkT,8,8,sex
0,2023-02-27 13:32:45+00:00,1.6302E+18,"Here’s how I rate the NFL Draft QBs this year…

Tier 1: Bryce Young, CJ Stroud

Tier 2: Hendon Hooker

Tier 3: Every other QB 😂",0,0,gender
1,2023-02-27 13:32:21+00:00,1.6302E+18,@dextrocardia_ (((HOOKER))),0,0,gender
0,2023-02-27 13:32:36+00:00,1.6302E+18,@sopbadak @kochengfs Gada dagu kayak gua😂😂😂😂😂. izin save,0,0,gender
1,2023-02-27 13:30:48+00:00,1.6302E+18,@nagma_e_vanshie 😂😂😂,1,0,gender
0,2023-02-27 13:30:49+00:00,1.6302E+18,@Nivek_1980 @Carl_Froch @jakepaul No.  He’s a 4 time world champion. Jake Paul and his lousy wannabes should stay clear of boxing as they’re all bad at it. They slag off too many folk.  This is rightful pay back,0,0,sex
1,2023-02-27 13:29:00+00:00,1.6302E+18,"Underligt at skulle opsætte en splittende præmis om at multikulturelle samfund skulle være noget dårligt 🤷🏻‍♂️

Det er den slags retorik, der taler borgerne herhjemme længere væk fra hinanden.

I øvrigt kender jeg ikke til ét eneste samfund, som ikke er multikulturelt. #dkpol https://t.co/I3nMH0G6sL",2,1,sex
0,2023-02-27 13:32:11+00:00,1.6302E+18,"@1Freethinker4Us @Nostradonny Well, there were multiple women involved so you'd have to ignore that to reach this conclusion, so let's start over, Sarah",0,0,gender
1,2023-02-27 13:27:38+00:00,1.6302E+18,@Daily_Express Gary Glitter still headlining?;,0,0,gender
0,2023-02-27 13:31:00+00:00,1.6302E+18,Mother Harlot!,0,0,gender
1,2023-02-27 13:28:55+00:00,1.6302E+18,"Harlot salah masuk kamar 😱 

die, @gdnVACHI ss harlot 

Saat bright masuk sarang ww, disana mereka sedang pesta makan 

die, @gdnGYEHYEON as seer 

dadah 🖐🏻",0,0,gender
0,2023-02-27 13:31:29+00:00,1.6302E+18,"questions  ""madam to the  want'him  e second  it shortly  I felt like  #盗微博 *专业盗QQ  + https://t.co/mO0ynXt27O",0,0,sex
